uni_name,urap_id
GEORGETOWN UNIVERSITY,URAP00426
GEORGIA INSTITUTE OF TECHNOLOGY,URAP00427
GEORGIA SOUTHERN UNIVERSITY,URAP00428
GEORGIA STATE UNIVERSITY,URAP00429
GHENT UNIVERSITY,URAP00430
GHEORGHE ASACHI TECHNICAL UNIVERSITY,URAP00431
GIFU PHARMACEUTICAL UNIVERSITY,URAP00432
GIFU UNIVERSITY,URAP00433
GLASGOW CALEDONIAN UNIVERSITY,URAP00434
GOLDSMITHS UNIVERSITY OF LONDON,URAP00435
GONZAGA UNIVERSITY,URAP00436
GOTEBORG UNIVERSITY,URAP00437
GRADUATE UNIVERSITY OF CHINESE ACADEMY OF SCIENCES,URAP00438
GRAND VALLEY STATE UNIVERSITY,URAP00439
GRIFFITH UNIVERSITY,URAP00440
GRINNELL COLLEGE,URAP00441
GUANGDONG UNIVERSITY OF TECHNOLOGY,URAP00442
GUANGXI MEDICAL UNIVERSITY,URAP00443
GUANGXI NORMAL UNIVERSITY,URAP00444
GUANGXI UNIVERSITY,URAP00445
GUANGZHOU UNIVERSITY,URAP00446
GUILIN UNIVERSITY OF ELECTRONIC TECHNOLOGY,URAP00447
GUIZHOU UNIVERSITY,URAP00448
GULHANE MILITARY MEDICAL ACADEMY,URAP00449
GUNMA UNIVERSITY,URAP00450
GURU NANAK DEV UNIVERSITY INDIA,URAP00451
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY,URAP00452
GYEONGSANG NATIONAL UNIVERSITY,URAP00453
HACETTEPE UNIVERSITY,URAP00454
HAINAN UNIVERSITY,URAP00455
HALLYM UNIVERSITY,URAP00456
HALMSTAD UNIVERSITY,URAP00457
HAMADAN UNIVERSITY OF MEDICAL SCIENCES,URAP00458
HAMAMATSU UNIVERSITY,URAP00459
HAMPTON UNIVERSITY,URAP00460
HANBAT NATIONAL UNIVERSITY,URAP00461
HANGZHOU DIANZI UNIVERSITY,URAP00462
HANKUK UNIVERSITY OF FOREIGN STUDIES,URAP00463
HANNAM UNIVERSITY,URAP00464
HANOI NATIONAL UNIVERSITY OF EDUCATION,URAP00465
HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00466
HANOI UNIVERSITY OF TECHNOLOGY,URAP00467
HANYANG UNIVERSITY,URAP00468
HARBIN ENGINEERING UNIVERSITY,URAP00469
HARBIN INSTITUTE OF TECHNOLOGY,URAP00470
HARBIN MEDICAL UNIVERSITY,URAP00471
HARBIN NORMAL UNIVERSITY (HNU),URAP00472
HARBIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00473
HARRAN UNIVERSITY,URAP00474
HARVARD UNIVERSITY,URAP00475
HARVEY MUDD COLLEGE,URAP00476
HASHEMITE UNIVERSITY,URAP00477
HASSELT UNIVERSITY (UNIVERSITY OF LIMBURG),URAP00478
HAVERFORD COLLEGE,URAP00479
HEALTH SCIENCES UNIVERSITY OF HOKKAIDO,URAP00480
HEBEI MEDICAL UNIVERSITY,URAP00481
HEBEI NORMAL UNIVERSITY,URAP00482
HEBEI UNIVERSITY,URAP00483
HEBEI UNIVERSITY OF ENGINEERING,URAP00484
HEBEI UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00485
HEBEI UNIVERSITY OF TECHNOLOGY,URAP00486
HEBREW UNIVERSITY OF JERUSALEM,URAP00487
HEC MONTREAL ECOLE DE GESTION,URAP00488
HEFEI UNIVERSITY OF TECHNOLOGY,URAP00489
HEILONGJIANG UNIVERSITY,URAP00490
HELMUT SCHMIDT UNIVERSITAT,URAP00491
HELSINKI UNIVERSITY OF TECHNOLOGY,URAP00492
HELWAN UNIVERSITY,URAP00493
HENAN NORMAL UNIVERSITY,URAP00494
HENAN POLYTECHNIC UNIVERSITY,URAP00495
HENAN UNIVERSITY,URAP00496
HENAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00497
HENRI POINCARE UNIVERSITY (NANCY 1),URAP00498
HERIOT-WATT UNIVERSITY,URAP00499
HERIOTEWATT UNIVERSITY,URAP00500
HIROSAKI UNIVERSITY,URAP00501
HIROSHIMA UNIVERSITY,URAP00502
HITOTSUBASHI UNIVERSITY,URAP00503
HOBART AND WILLIAM SMITH COLLEGES,URAP00504
